Περιφερειακή Ενότητα,Σύνολο εμβολιασμών,Σύνολο 1ης δόσης,Σύνολο 2ης δόσης
ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,192.486  (+4.229 την 16/03/2021),123.834  (+2.825 την 16/03/2021),68.652  (+1.404 την 16/03/2021)
ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,174.343  (+3.771 την 16/03/2021),123.134  (+956 την 16/03/2021),51.209  (+2.815 την 16/03/2021)
ΘΕΣΣΑΛΟΝΙΚΗΣ,145.885  (+3.662 την 16/03/2021),99.576  (+2.073 την 16/03/2021),46.309  (+1.589 την 16/03/2021)
ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,52.703  (+1.467 την 16/03/2021),34.539  (+1.159 την 16/03/2021),18.164  (+308 την 16/03/2021)
ΠΕΙΡΑΙΩΣ,52.207  (+1.391 την 16/03/2021),36.111  (+1.074 την 16/03/2021),16.096  (+317 την 16/03/2021)
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,33.882  (+803 την 16/03/2021),23.908  (+763 την 16/03/2021),9.974  (+40 την 16/03/2021)
ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,32.012  (+870 την 16/03/2021),22.641  (+450 την 16/03/2021),9.371  (+420 την 16/03/2021)
ΗΡΑΚΛΕΙΟΥ,31.582  (+759 την 16/03/2021),21.168  (+459 την 16/03/2021),10.414  (+300 την 16/03/2021)
ΑΧΑΪΑΣ,30.931  (+791 την 16/03/2021),20.474  (+541 την 16/03/2021),10.457  (+250 την 16/03/2021)
ΛΑΡΙΣΑΣ,26.335  (+648 την 16/03/2021),17.684  (+471 την 16/03/2021),8.651  (+177 την 16/03/2021)
ΙΩΑΝΝΙΝΩΝ,23.859  (+500 την 16/03/2021),15.171  (+245 την 16/03/2021),8.688  (+255 την 16/03/2021)
ΧΑΝΙΩΝ,21.757  (+487 την 16/03/2021),14.658  (+299 την 16/03/2021),7.099  (+188 την 16/03/2021)
ΕΥΒΟΙΑΣ,21.467  (+575 την 16/03/2021),14.955  (+269 την 16/03/2021),6.512  (+306 την 16/03/2021)
ΕΒΡΟΥ,18.660  (+433 την 16/03/2021),12.670  (+165 την 16/03/2021),5.990  (+268 την 16/03/2021)
ΠΕΛΛΑΣ,17.115  (+378 την 16/03/2021),11.460  (+325 την 16/03/2021),5.655  (+53 την 16/03/2021)
ΜΑΓΝΗΣΙΑΣ,16.978  (+497 την 16/03/2021),11.907  (+342 την 16/03/2021),5.071  (+155 την 16/03/2021)
ΜΕΣΣΗΝΙΑΣ,16.103  (+342 την 16/03/2021),10.554  (+173 την 16/03/2021),5.549  (+169 την 16/03/2021)
ΤΡΙΚΑΛΩΝ,15.883  (+394 την 16/03/2021),10.484  (+218 την 16/03/2021),5.399  (+176 την 16/03/2021)
ΚΟΖΑΝΗΣ,15.768  (+403 την 16/03/2021),10.723  (+257 την 16/03/2021),5.045  (+146 την 16/03/2021)
ΚΑΡΔΙΤΣΑΣ,15.634  (+329 την 16/03/2021),11.184  (+277 την 16/03/2021),4.450  (+52 την 16/03/2021)
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,15.612  (+348 την 16/03/2021),11.123  (+234 την 16/03/2021),4.489  (+114 την 16/03/2021)
ΣΕΡΡΩΝ,14.712  (+374 την 16/03/2021),10.712  (+199 την 16/03/2021),4.000  (+175 την 16/03/2021)
ΗΜΑΘΙΑΣ,14.691  (+356 την 16/03/2021),9.609  (+174 την 16/03/2021),5.082  (+182 την 16/03/2021)
ΦΘΙΩΤΙΔΑΣ,13.288  (+355 την 16/03/2021),9.161  (+202 την 16/03/2021),4.127  (+153 την 16/03/2021)
ΒΟΙΩΤΙΑΣ,13.237  (+302 την 16/03/2021),10.143  (+126 την 16/03/2021),3.094  (+176 την 16/03/2021)
